"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 23 19:26:06 GMT 2024","Fri Aug 23 19:26:06 GMT 2024","84","Booking_API","api_test/api_tests.spec.js","","","","[bk-4] PUT/booking{id}",""
"passed","Fri Aug 23 19:26:05 GMT 2024","Fri Aug 23 19:26:05 GMT 2024","154","Booking_API","api_test/api_tests.spec.js","","","","[bk-1] GET/ping",""
"passed","Fri Aug 23 19:26:05 GMT 2024","Fri Aug 23 19:26:06 GMT 2024","112","Booking_API","api_test/api_tests.spec.js","","","","[bk-2] POST/auth",""
"passed","Fri Aug 23 19:26:06 GMT 2024","Fri Aug 23 19:26:06 GMT 2024","105","Booking_API","api_test/api_tests.spec.js","","","","[bk-3] POST/booking",""
"passed","Fri Aug 23 19:26:06 GMT 2024","Fri Aug 23 19:26:06 GMT 2024","109","Booking_API","api_test/api_tests.spec.js","","","","[bk-5] PATCH/booking{id}",""
"broken","Fri Aug 23 19:29:01 GMT 2024","Fri Aug 23 19:29:34 GMT 2024","32505","Booking_UI","ui_tests/ui_tests.spec.js","","","","Code #4",""
"failed","Fri Aug 23 19:26:07 GMT 2024","Fri Aug 23 19:26:07 GMT 2024","149","Booking_API","api_test/api_tests.spec.js","","","","[bk-7] PUT/booking{id} - faild",""
"failed","Fri Aug 23 19:26:13 GMT 2024","Fri Aug 23 19:26:14 GMT 2024","867","Booking_UI","ui_tests/ui_tests.spec.js","","","","Buy Me a Tea And a Cake",""
"passed","Fri Aug 23 19:26:06 GMT 2024","Fri Aug 23 19:26:06 GMT 2024","110","Booking_API","api_test/api_tests.spec.js","","","","[bk-6] DELETE/booking{id}",""
"passed","Fri Aug 23 19:26:09 GMT 2024","Fri Aug 23 19:26:10 GMT 2024","1972","Booking_UI","ui_tests/ui_tests.spec.js","","","","API Docs",""
"broken","Fri Aug 23 19:27:22 GMT 2024","Fri Aug 23 19:27:55 GMT 2024","33119","Booking_UI","ui_tests/ui_tests.spec.js","","","","Web site",""
